CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Allapalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2639900,77.1498900
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Belladi BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2655930,76.9757110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chikkarampalayam BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2486170,76.9823110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Mangalakaraipudur BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2595650,76.9310030
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Annurmettupalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2619300,77.1189910
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Nagammapudur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2395860,77.1187910
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Nallichettipalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2367530,77.0711550
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pilliappampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.1886500,77.0764430
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadakkalur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2731460,77.0962170
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kariampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2063120,77.0777920
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Paralipower House BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2478920,76.7668950
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kanjapalli BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2378980,77.1402770
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Komarapalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2186700,77.0990780
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pasuravanashi BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2810040,77.1204410
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Athappagoundenpudur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0323999,77.0744366
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chinthamanipudur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0083983,77.0744616
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Odderpalayam BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,10.9971150,77.0824616
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kuppanur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2791730,77.0712310
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Odderpalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2422470,77.0920980
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Sokkampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2152390,77.1217380
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kamatchipuram BO,641103,BO,Non Delivery,COIMBATORE,TAMIL NADU,11.0040533,77.0628883
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Ravathur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0255733,77.0972450
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kadampadi BO,641401,BO,Delivery,COIMBATORE,TAMIL NADU,11.0359660,77.1642530
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Marudur BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2410260,76.9220770
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pillurdam BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2650590,76.8149600
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Purandampalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8658550,77.1711400
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadambachery BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4449000,77.7110000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chandrapuram BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,12.5105970,78.4783900
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Komarapalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4466640,77.6943350
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Malayadipalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4582280,77.7712080
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Puliamarathupalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.7447930,77.4261910
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Eripatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6624000,77.0823000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Poosaripatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.5280000,77.6500000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Seelakkampatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6578000,77.1230000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,A.Nagore B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6806000,77.1126000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Senjeri BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8505510,77.1950880
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Velappanaickenpalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8878890,77.1584840
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chennappachettipudur BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1644650,77.1129110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vaharayampalayam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1446380,77.1341120
